Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,236382,Renton Technical College,1,Renton Technical College,4616,0,0,0,,,0,,,0,0,0,2,0
2001,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1474,0,0,0,,,0,,,0,0,2,0,0
2001,236513,Seattle Central College,1,Seattle Central College,6822,0,0,0,,,0,,,0,0,5,2,0
2001,439914,Seattle Institute of East Asian Medicine,1,Main Campus,27,0,0,0,,,0,,,0,0,0,0,0
2001,236577,Seattle Pacific University,1,Main Campus,3615,0,0,0,,,0,,,0,0,3,2,1
2001,236595,Seattle University,1,Main Campus,5981,0,0,1,,,0,,,0,0,12,9,1
2001,236610,Shoreline Community College,1,Shoreline Community College,6748,0,0,0,,,1,,,0,0,5,0,1
2001,236638,Skagit Valley College,1,Mount Vernon Campus,5377,0,0,1,,,0,,,0,0,1,0,2
2001,236638,Skagit Valley College,2,Whidbey Island Campus,5377,0,0,0,,,0,,,0,0,0,0,0
2001,236638,Skagit Valley College,4,San Juan Center,5377,0,0,0,,,0,,,0,0,0,0,0
2001,236656,South Puget Sound Community College,1,Main Campus,4581,0,0,0,,,0,,,0,1,1,0,0
2001,236504,South Seattle College,1,South Seattle College,5679,0,0,0,,,0,,,0,0,2,7,0
2001,236504,South Seattle College,2,Georgetown Campus,5679,0,0,0,,,0,,,0,0,0,0,0
2001,236692,Spokane Community College,1,Main Campus,6858,0,0,0,,,0,,,1,0,2,12,0
2001,236708,Spokane Falls Community College,1,Main Campus,9335,0,0,0,,,0,,,0,0,1,10,0
2001,236744,Stylemaster College of Hair Design,1,Main Campus,41,0,0,0,,,0,,,0,0,0,0,0
2001,236753,Tacoma Community College,1,Tacoma Community College,5848,0,0,0,,,1,,,1,2,1,8,1
2001,235167,The Evergreen State College,1,Main Campus,4227,0,0,0,,,3,,,0,3,26,2,0
2001,441131,The Seattle School of Theology & Psychology,1,The Seattle School of Theology & Psychology Main Campus,,0,0,0,,,0,,,0,0,0,0,0
2001,235352,Toni & Guy Hairdressing Academy-Shoreline,1,Evergreen Beauty College - Shoreline,68,0,0,0,,,0,,,0,0,0,1,0
2001,236328,University of Puget Sound,1,Main Campus,2848,0,0,0,,,0,,,0,0,16,10,0
2001,377555,University of Washington-Bothell Campus,1,Bothell Campus,1679,0,0,0,,,0,,,0,0,1,0,0
2001,236948,University of Washington-Seattle Campus,1,Main Campus,37412,0,0,2,,,0,,,4,6,92,38,2
2001,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,1998,0,0,0,,,3,,,1,1,3,1,0
2001,236887,Walla Walla Community College,1,Walla Walla Campus,4435,0,0,0,,,0,,,0,0,0,0,0
2001,236896,Walla Walla University,1,Main Campus,1823,0,0,0,,,0,,,0,0,2,0,0
2001,236939,Washington State University,1,Pullman Campus,21073,0,0,11,,,0,,,2,3,57,3,5
2001,236975,Wenatchee Valley College,1,Main Campus,2835,0,0,1,,,0,,,0,0,7,0,0
2001,237011,Western Washington University,1,Bellingham Campus,12409,0,0,1,,,0,,,0,0,9,6,1
2001,237039,Whatcom Community College,1,Main Campus,3993,0,0,0,,,0,,,0,0,2,0,0
2001,237057,Whitman College,1,Whitman College,1439,0,0,0,,,0,,,0,0,0,0,0
2001,237066,Whitworth University,1,Main Campus,2107,0,0,0,,,0,,,0,0,0,0,0
2001,237109,Yakima Valley College,1,Main Campus,4118,0,0,0,,,0,,,0,0,0,0,0
2002,245883,Antioch University-Seattle,1,Main Campus,770,0,0,0,,,0,,,0,0,2,0,0
2002,235547,Bastyr University,1,Main Campus,1154,0,0,0,,,0,,,0,0,5,0,0
2002,235671,Bates Technical College,1,Downtown Campus,6239,0,0,0,,,0,,,0,0,0,1,0
2002,235671,Bates Technical College,2,South Campus,6239,0,0,0,,,0,,,0,0,1,0,0
2002,235671,Bates Technical College,3,Central Campus,6239,0,0,0,,,0,,,0,0,0,0,0
2002,234669,Bellevue College,1,Main Campus,12393,0,0,1,,,0,,,0,1,28,17,2
2002,234696,Bellingham Technical College,1,Main Campus,3060,0,0,0,,,0,,,0,0,0,1,0
2002,234711,Big Bend Community College,1,Main Campus,1947,0,0,0,,,0,,,0,0,0,0,0
2002,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,61,0,0,0,,,0,,,0,0,0,0,0
2002,439118,Carrington College-Spokane,1,Carrington College-Spokane,,0,0,0,,,0,,,0,0,0,0,0
2002,439190,Cascadia College,1,Main Campus,1901,0,0,0,,,0,,,0,0,0,0,0
2002,234827,Central Washington University,1,Central Washington University,9203,0,0,2,,,0,,,0,0,57,9,2
2002,234827,Central Washington University,2,CWU-Yakima,9203,0,0,0,,,0,,,0,0,0,1,0
2002,234845,Centralia College,1,Centralia College,3336,0,0,1,,,0,,,0,1,0,0,0
2002,234845,Centralia College,2,Centralia College - East Campus,3336,0,0,0,,,0,,,0,0,0,0,0
2002,102845,Charter College,1,Charter College-Anchorage,390,0,0,0,,,0,,,0,0,0,0,0
2002,234915,City University of Seattle,2,Everett,3590,0,0,0,,,0,,,0,0,0,0,0
2002,234915,City University of Seattle,4,Renton,3590,0,0,0,,,0,,,0,0,0,0,0
2002,234915,City University of Seattle,6,Tacoma,3590,0,0,0,,,0,,,0,0,0,0,0
2002,234915,City University of Seattle,8,Vancouver,3590,0,0,0,,,0,,,0,0,0,0,0
2002,234933,Clark College,1,Main Campus,9648,0,0,0,,,0,,,0,1,1,5,0
2002,234951,Clover Park Technical College,1,Lakewood Campus,8052,0,0,0,,,0,,,0,0,9,2,0
2002,234979,Columbia Basin College,1,Columbia Basin College,6253,0,0,0,,,0,,,0,0,0,1,0
2002,177065,Columbia College,26,Columbia College @ Marysville,8958,0,0,0,,,0,,,0,0,1,0,0
2002,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,8958,0,0,0,,,0,,,0,0,0,0,0
2002,235024,Cornish College of the Arts,1,Cornish College of the Arts,665,0,0,0,,,0,,,0,0,3,0,0
2002,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,146,0,0,0,,,0,,,0,0,0,0,0
2002,235097,Eastern Washington University,1,EWU Main Campus,9924,0,0,2,,,2,,,0,3,16,2,1
2002,235103,Edmonds College,1,Main Campus,8224,0,0,0,,,0,,,0,0,2,7,0
2002,235149,Everett Community College,1,Everett Community College,6438,0,0,0,,,0,,,0,0,1,12,0
2002,443049,Faith International University,1,Main Campus,,0,0,0,,,0,,,0,0,0,0,0
2002,235307,Glen Dow Academy of Hair Design,1,Main Campus,62,0,0,0,,,0,,,0,0,0,0,0
2002,235316,Gonzaga University,1,Main Campus,5254,0,0,1,,,0,,,1,0,21,14,2
2002,235334,Grays Harbor College,1,Main Campus,2181,0,0,0,,,0,,,0,0,5,0,0
2002,235343,Green River College,1,Main Campus,6433,0,0,0,,,0,,,0,2,38,11,0
2002,235422,Heritage University,1,Heritage University Main Campus,1276,0,0,0,,,0,,,0,0,0,3,0
2002,235583,Highlights Beauty Schools,1,Main Campus,164,0,0,0,,,0,,,0,0,1,2,0
2002,407708,Highlights Beauty Schools,1,Branch Campus,183,0,0,0,,,0,,,0,0,0,4,0
2002,235431,Highline College,1,Highline College,6787,0,0,0,,,0,,,0,0,1,8,0
2002,235501,International Air and Hospitality Academy,1,Main Campus,222,0,0,0,,,0,,,0,0,0,0,0
2002,235699,Lake Washington Institute of Technology,1,Kirkland Campus,3755,0,0,0,,,0,,,0,0,0,0,0
2002,235750,Lower Columbia College,1,Lower Columbia College,3472,0,0,0,,,0,,,0,0,0,1,0
2002,236072,North Seattle College,1,Main Campus,6057,0,0,0,,,0,,,0,0,1,0,0
2002,377546,Northwest College of Art & Design,1,Main,117,0,0,0,,,0,,,0,0,1,0,0
2002,434362,Northwest HVAC/R Training Center,1,Northwest HVAC/R Association & Training Center,42,0,0,0,,,0,,,0,0,1,0,0
2002,380377,Northwest Indian College,1,Lummi Campus,667,0,0,0,,,0,,,1,0,1,0,0
2002,236133,Northwest University,1,Northwest University,1120,0,0,0,,,0,,,0,0,12,2,0
2002,236188,Olympic College,1,Bremerton Campus,6151,0,0,0,,,0,,,0,0,0,1,0
2002,236230,Pacific Lutheran University,1,Main Campus,3385,0,0,0,,,0,,,0,0,21,3,0
2002,178721,Park University,11,Fairchild AFB,10123,0,0,0,,,0,,,0,0,0,0,0
2002,235158,Paroba College of Cosmetology,1,Paroba College of Cosmetology,52,0,0,0,,,0,,,0,0,0,0,0
2002,234924,Paul Mitchell the School-Richland,1,Paul Mitchell the School Richland,61,0,0,0,,,0,,,0,0,0,0,0
2002,236258,Peninsula College,1,Main Campus,4223,0,0,0,,,0,,,0,1,0,0,0
2002,236258,Peninsula College,2,Forks Branch,4223,0,0,0,,,0,,,0,0,0,0,0
2002,236258,Peninsula College,3,Port Townsend Branch,4223,0,0,0,,,0,,,0,0,0,0,0
2002,236212,Perry Technical Institute,1,Perry Technical Institute,467,0,0,0,,,0,,,1,0,4,0,0
2002,235237,Pierce College District,1,Pierce College Fort Steilacoom,7157,0,0,0,,,0,,,0,0,0,0,0
2002,368629,Pima Medical Institute-Seattle,1,Seattle Campus,288,0,0,0,,,0,,,0,0,1,0,0
2002,236382,Renton Technical College,1,Renton Technical College,4332,0,0,0,,,0,,,0,0,0,4,0
2002,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1705,0,0,1,,,0,,,0,0,4,1,0
2002,236513,Seattle Central College,1,Seattle Central College,7179,0,0,0,,,0,,,1,1,3,1,0
2002,439914,Seattle Institute of East Asian Medicine,1,Main Campus,28,0,0,0,,,0,,,0,0,0,0,0
2002,236577,Seattle Pacific University,1,Main Campus,3684,0,0,0,,,0,,,0,0,11,7,1
2002,236595,Seattle University,1,Main Campus,6270,0,0,1,,,0,,,0,0,11,4,0
2002,236610,Shoreline Community College,1,Shoreline Community College,7200,0,0,1,,,1,,,0,0,1,1,1
2002,236638,Skagit Valley College,1,Mount Vernon Campus,5772,0,0,0,,,0,,,0,0,1,3,0
2002,236638,Skagit Valley College,2,Whidbey Island Campus,5772,0,0,0,,,0,,,0,0,0,0,0
2002,236638,Skagit Valley College,4,San Juan Center,5772,0,0,0,,,0,,,0,0,0,0,0
2002,236656,South Puget Sound Community College,1,Main Campus,4666,0,0,0,,,0,,,0,0,2,1,0
2002,236504,South Seattle College,1,South Seattle College,6665,0,0,0,,,0,,,0,0,0,2,0
2002,236504,South Seattle College,2,Georgetown Campus,6665,0,0,0,,,0,,,0,0,0,0,0
2002,236692,Spokane Community College,1,Main Campus,7139,0,0,0,,,0,,,0,0,2,6,1
2002,236708,Spokane Falls Community College,1,Main Campus,9257,0,0,0,,,0,,,0,0,0,4,0
2002,236744,Stylemaster College of Hair Design,1,Main Campus,45,0,0,0,,,0,,,0,0,0,0,0
2002,236753,Tacoma Community College,1,Tacoma Community College,6554,0,0,0,,,0,,,0,0,0,1,2
2002,235167,The Evergreen State College,1,Main Campus,4367,0,0,1,,,1,,,2,0,16,2,1
2002,441131,The Seattle School of Theology & Psychology,1,The Seattle School of Theology & Psychology Main Campus,161,0,0,0,,,0,,,0,0,0,0,0
2002,235352,Toni & Guy Hairdressing Academy-Shoreline,1,Evergreen Beauty College - Shoreline,99,0,0,0,,,0,,,0,0,0,0,0
2002,236328,University of Puget Sound,1,Main Campus,2846,0,0,1,,,0,,,0,1,7,5,0
2002,377555,University of Washington-Bothell Campus,1,Bothell Campus,1636,0,0,0,,,0,,,0,0,3,0,0
2002,236948,University of Washington-Seattle Campus,1,Main Campus,39882,0,0,0,,,0,,,1,0,131,35,1
2002,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,2111,0,0,0,,,0,,,1,0,13,1,0
2002,236887,Walla Walla Community College,1,Walla Walla Campus,4440,0,0,0,,,0,,,0,0,2,1,0
2002,236896,Walla Walla University,1,Main Campus,1865,0,0,0,,,0,,,0,0,2,2,0
2002,236939,Washington State University,1,Pullman Campus,21880,0,0,3,,,0,,,0,3,59,0,1
2002,236975,Wenatchee Valley College,1,Main Campus,3132,0,0,0,,,0,,,0,0,9,0,0
2002,237011,Western Washington University,1,Bellingham Campus,13865,0,0,0,,,0,,,0,2,9,2,0
2002,237039,Whatcom Community College,1,Main Campus,4219,0,0,0,,,0,,,0,0,2,0,0
2002,237057,Whitman College,1,Whitman College,1454,0,0,2,,,1,,,0,0,1,0,0
2002,237066,Whitworth University,1,Main Campus,2206,0,0,0,,,0,,,0,0,1,2,0
2002,237109,Yakima Valley College,1,Main Campus,4490,0,0,0,,,0,,,0,0,0,0,0
2003,245883,Antioch University-Seattle,1,Main Campus,827,0,0,0,,,0,,,0,0,1,0,0
2003,235547,Bastyr University,1,Main Campus,1164,0,0,0,,,0,,,0,0,0,0,0
2003,235671,Bates Technical College,1,Downtown Campus,6046,0,0,0,,,0,,,0,0,0,0,0
2003,235671,Bates Technical College,2,South Campus,6046,0,0,0,,,0,,,0,0,0,2,0
2003,235671,Bates Technical College,3,Central Campus,6046,0,0,0,,,0,,,0,0,0,0,0
2003,234669,Bellevue College,1,Main Campus,12621,0,0,0,,,0,,,0,7,10,15,1
2003,234696,Bellingham Technical College,1,Main Campus,2704,0,0,0,,,0,,,0,0,1,1,0
2003,234711,Big Bend Community College,1,Main Campus,2090,0,0,1,,,0,,,0,0,0,1,0
2003,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,69,0,0,0,,,0,,,0,0,0,0,0
2003,439118,Carrington College-Spokane,1,Carrington College-Spokane,,0,0,0,,,0,,,0,0,0,0,0
2003,439190,Cascadia College,1,Main Campus,1964,0,0,0,,,0,,,0,0,0,1,0
2003,234827,Central Washington University,1,Central Washington University,9903,0,0,4,,,0,,,0,4,28,3,3
2003,234827,Central Washington University,2,CWU-Yakima,9903,0,0,0,,,0,,,0,0,0,3,0
2003,234845,Centralia College,1,Centralia College,4068,0,0,0,,,0,,,0,0,1,1,0
2003,234845,Centralia College,2,Centralia College - East Campus,4068,0,0,0,,,0,,,0,0,0,0,0
2003,102845,Charter College,1,Charter College-Anchorage,389,0,0,0,,,0,,,0,0,0,0,0
2003,234915,City University of Seattle,2,Everett,3820,0,0,0,,,0,,,0,0,0,0,0
2003,234915,City University of Seattle,4,Renton,3820,0,0,0,,,0,,,0,0,0,1,0
2003,234915,City University of Seattle,6,Tacoma,3820,0,0,0,,,0,,,0,0,0,0,0
2003,234915,City University of Seattle,8,Vancouver,3820,0,0,0,,,0,,,0,0,0,0,0
2003,234933,Clark College,1,Main Campus,10043,0,0,0,,,0,,,0,1,1,12,0
2003,234951,Clover Park Technical College,1,Lakewood Campus,7342,0,0,0,,,0,,,0,0,3,2,0
2003,234979,Columbia Basin College,1,Columbia Basin College,6110,0,0,0,,,0,,,0,0,1,0,0
2003,177065,Columbia College,26,Columbia College @ Marysville,10146,0,0,0,,,0,,,0,0,0,0,0
2003,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,10146,0,0,0,,,0,,,0,0,0,0,0
2003,235024,Cornish College of the Arts,1,Cornish College of the Arts,696,0,0,0,,,0,,,0,0,4,0,0
2003,443410,DigiPen Institute of Technology,1,DigiPen,522,0,0,0,,,0,,,0,0,0,0,0
2003,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,84,0,0,0,,,0,,,0,0,0,0,0
2003,235097,Eastern Washington University,1,EWU Main Campus,10337,0,0,3,,,0,,,0,2,22,0,0
2003,235103,Edmonds College,1,Main Campus,8385,0,0,0,,,0,,,0,0,2,5,0
2003,235149,Everett Community College,1,Everett Community College,6329,0,0,0,,,0,,,0,0,2,3,0
2003,443049,Faith International University,1,Main Campus,188,0,0,0,,,0,,,0,0,0,0,0
2003,235307,Glen Dow Academy of Hair Design,1,Main Campus,82,0,0,0,,,0,,,0,0,0,0,0
2003,235316,Gonzaga University,1,Main Campus,5494,0,0,1,,,0,,,0,2,17,12,1
2003,235334,Grays Harbor College,1,Main Campus,2508,0,0,0,,,0,,,0,0,3,0,0
2003,235343,Green River College,1,Main Campus,6621,0,0,0,,,0,,,0,0,49,7,0
2003,235422,Heritage University,1,Heritage University Main Campus,1270,0,0,0,,,0,,,0,1,0,2,0
2003,235583,Highlights Beauty Schools,1,Main Campus,178,0,0,0,,,0,,,0,0,0,0,0
2003,407708,Highlights Beauty Schools,1,Branch Campus,170,0,0,0,,,0,,,0,0,0,0,0
2003,235431,Highline College,1,Highline College,6225,0,0,1,,,0,,,0,0,0,17,0
2003,235501,International Air and Hospitality Academy,1,Main Campus,205,0,0,0,,,0,,,0,0,0,0,0
2003,235699,Lake Washington Institute of Technology,1,Kirkland Campus,3750,0,0,0,,,0,,,0,0,0,0,0
2003,235750,Lower Columbia College,1,Lower Columbia College,3320,0,0,0,,,0,,,0,1,0,2,0
2003,236072,North Seattle College,1,Main Campus,6124,0,0,0,,,0,,,0,0,0,1,0
2003,377546,Northwest College of Art & Design,1,Main,135,0,0,0,,,0,,,0,0,0,0,0
2003,434362,Northwest HVAC/R Training Center,1,Northwest HVAC/R Association & Training Center,43,0,0,0,,,0,,,0,0,0,0,0
2003,380377,Northwest Indian College,1,Lummi Campus,643,0,0,0,,,0,,,0,0,1,0,0
2003,236133,Northwest University,1,Northwest University,1161,0,0,0,,,0,,,0,0,2,0,0
2003,236188,Olympic College,1,Bremerton Campus,6392,0,0,0,,,0,,,0,0,0,0,0
2003,236230,Pacific Lutheran University,1,Main Campus,3462,0,0,0,,,0,,,1,1,8,9,0
2003,178721,Park University,11,Fairchild AFB,11868,0,0,0,,,0,,,0,0,0,0,0
2003,235158,Paroba College of Cosmetology,1,Paroba College of Cosmetology,55,0,0,0,,,0,,,0,0,0,0,0
2003,234924,Paul Mitchell the School-Richland,1,Paul Mitchell the School Richland,80,0,0,0,,,0,,,0,0,0,0,0
2003,236258,Peninsula College,1,Main Campus,3843,0,0,0,,,0,,,0,0,1,0,0
2003,236258,Peninsula College,2,Forks Branch,3843,0,0,0,,,0,,,0,0,0,0,0
2003,236258,Peninsula College,3,Port Townsend Branch,3843,0,0,0,,,0,,,0,0,0,0,0
2003,236212,Perry Technical Institute,1,Perry Technical Institute,412,0,0,0,,,0,,,0,0,1,2,0
2003,235237,Pierce College District,1,Pierce College Fort Steilacoom,7339,0,0,0,,,0,,,0,0,1,3,0
2003,368629,Pima Medical Institute-Seattle,1,Seattle Campus,293,0,0,0,,,0,,,0,0,0,0,0
2003,236382,Renton Technical College,1,Renton Technical College,4228,0,0,0,,,0,,,0,0,0,5,0
2003,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1489,0,0,0,,,0,,,0,0,4,1,0
2003,236513,Seattle Central College,1,Seattle Central College,7159,0,0,0,,,0,,,0,0,0,0,0
2003,439914,Seattle Institute of East Asian Medicine,1,Main Campus,31,0,0,0,,,0,,,0,0,0,0,0
2003,236577,Seattle Pacific University,1,Main Campus,3728,0,0,0,,,0,,,0,0,11,5,0
2003,236595,Seattle University,1,Main Campus,6659,0,0,2,,,0,,,0,0,4,8,0
2003,236610,Shoreline Community College,1,Shoreline Community College,6950,0,0,0,,,0,,,0,0,0,1,0
2003,236638,Skagit Valley College,1,Mount Vernon Campus,6028,0,0,1,,,0,,,0,0,3,2,0
2003,236638,Skagit Valley College,2,Whidbey Island Campus,6028,0,0,0,,,0,,,0,0,1,0,0
2003,236638,Skagit Valley College,4,San Juan Center,6028,0,0,0,,,0,,,0,0,0,0,0
2003,236656,South Puget Sound Community College,1,Main Campus,5044,0,0,0,,,0,,,0,2,1,1,0
2003,236504,South Seattle College,1,South Seattle College,6523,0,0,0,,,0,,,1,0,4,1,0
2003,236504,South Seattle College,2,Georgetown Campus,6523,0,0,0,,,0,,,0,0,0,0,0
2003,236692,Spokane Community College,1,Main Campus,7252,0,0,0,,,0,,,0,0,9,2,0
2003,236708,Spokane Falls Community College,1,Main Campus,10355,0,0,0,,,0,,,0,0,8,2,0
2003,236744,Stylemaster College of Hair Design,1,Main Campus,51,0,0,0,,,0,,,0,0,0,0,0
2003,236753,Tacoma Community College,1,Tacoma Community College,6661,0,0,0,,,0,,,0,0,0,2,0
2003,235167,The Evergreen State College,1,Main Campus,4380,0,0,0,,,0,,,0,1,3,5,0
2003,441131,The Seattle School of Theology & Psychology,1,The Seattle School of Theology & Psychology Main Campus,230,0,0,0,,,0,,,0,0,0,0,0
2003,235352,Toni & Guy Hairdressing Academy-Shoreline,1,Evergreen Beauty College - Shoreline,149,0,0,0,,,0,,,0,0,0,0,0
2003,236328,University of Puget Sound,1,Main Campus,2760,0,0,0,,,0,,,0,0,11,5,0
2003,377555,University of Washington-Bothell Campus,1,Bothell Campus,1613,0,0,0,,,0,,,0,0,0,1,0
2003,236948,University of Washington-Seattle Campus,1,Main Campus,39135,0,0,1,,,0,,,1,2,74,54,0
2003,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,2008,0,0,0,,,0,,,0,1,11,3,0
2003,236887,Walla Walla Community College,1,Walla Walla Campus,4998,0,0,0,,,0,,,0,0,0,1,0
2003,236896,Walla Walla University,1,Main Campus,1918,0,0,0,,,0,,,0,0,3,1,0
2003,236939,Washington State University,1,Pullman Campus,22712,0,0,3,,,0,,,0,3,69,5,7
2003,236975,Wenatchee Valley College,1,Main Campus,3204,0,0,0,,,0,,,0,0,15,0,0
2003,237011,Western Washington University,1,Bellingham Campus,13845,0,0,3,,,0,,,0,0,12,4,0
2003,237039,Whatcom Community College,1,Main Campus,4173,0,0,0,,,0,,,0,0,1,0,0
2003,237057,Whitman College,1,Whitman College,1454,0,0,6,,,0,,,0,0,0,0,0
2003,237066,Whitworth University,1,Main Campus,2298,0,0,0,,,0,,,0,1,1,1,0
